Data,IBOV,IBOVAnt
19/01/2022 12:15:28,108404.65,106667.66
19/01/2022 12:15:48,108387.41,106667.66
19/01/2022 12:16:08,108422.99,106667.66
19/01/2022 12:16:29,108422.99,106667.66
19/01/2022 12:16:49,108447.07,106667.66
19/01/2022 12:17:10,108525.76,106667.66
19/01/2022 12:17:30,108525.76,106667.66
19/01/2022 12:17:51,108517.95,106667.66
19/01/2022 12:18:11,108493.29,106667.66
19/01/2022 12:18:32,108493.29,106667.66
19/01/2022 12:18:52,108473.08,106667.66
19/01/2022 12:19:13,108516.70,106667.66
19/01/2022 12:19:33,108582.03,106667.66
19/01/2022 12:19:54,108582.03,106667.66
19/01/2022 12:20:14,108582.03,106667.66
19/01/2022 12:20:35,108557.23,106667.66
19/01/2022 12:20:56,108557.23,106667.66
19/01/2022 12:21:16,108601.77,106667.66
19/01/2022 12:21:37,108559.69,106667.66
19/01/2022 12:21:58,108559.69,106667.66
19/01/2022 12:22:18,108561.24,106667.66
19/01/2022 12:22:38,108533.35,106667.66
19/01/2022 12:22:59,108533.35,106667.66
19/01/2022 12:23:20,108510.68,106667.66
19/01/2022 12:23:41,108506.96,106667.66
19/01/2022 12:24:01,108506.96,106667.66
19/01/2022 12:24:21,108545.04,106667.66
19/01/2022 12:24:42,108537.24,106667.66
19/01/2022 12:25:02,108537.24,106667.66
19/01/2022 12:25:23,108532.51,106667.66
19/01/2022 12:25:43,108533.91,106667.66
19/01/2022 12:26:03,108533.91,106667.66
19/01/2022 12:26:24,108482.86,106667.66
19/01/2022 12:26:44,108480.53,106667.66
19/01/2022 12:27:05,108461.41,106667.66
19/01/2022 12:27:25,108461.41,106667.66
19/01/2022 12:27:45,108504.74,106667.66
19/01/2022 12:28:06,108524.93,106667.66
19/01/2022 12:28:27,108524.93,106667.66
19/01/2022 12:28:47,108483.78,106667.66
19/01/2022 12:29:07,108484.99,106667.66
19/01/2022 12:29:27,108484.99,106667.66
19/01/2022 12:29:48,108474.72,106667.66
19/01/2022 12:30:09,108491.91,106667.66
19/01/2022 12:30:29,108491.91,106667.66
19/01/2022 12:30:49,108477.26,106667.66
19/01/2022 12:31:10,108514.09,106667.66
19/01/2022 12:31:30,108514.09,106667.66
19/01/2022 12:31:51,108514.09,106667.66
19/01/2022 12:32:11,108459.95,106667.66
19/01/2022 12:32:32,108425.64,106667.66
19/01/2022 12:32:52,108425.64,106667.66
19/01/2022 12:33:13,108407.10,106667.66
19/01/2022 12:33:33,108407.10,106667.66
19/01/2022 12:33:54,108371.21,106667.66
19/01/2022 12:34:14,108442.25,106667.66
19/01/2022 12:34:35,108462.04,106667.66
19/01/2022 12:34:56,108462.04,106667.66
19/01/2022 12:35:16,108457.21,106667.66
19/01/2022 12:35:36,108415.57,106667.66
19/01/2022 12:35:57,108415.57,106667.66
19/01/2022 12:36:17,108382.83,106667.66
19/01/2022 12:36:38,108412.12,106667.66
19/01/2022 12:36:59,108412.12,106667.66
19/01/2022 12:37:19,108406.95,106667.66
19/01/2022 12:37:40,108401.68,106667.66
19/01/2022 12:38:01,108401.68,106667.66
19/01/2022 12:38:21,108409.06,106667.66
19/01/2022 12:38:42,108435.00,106667.66
19/01/2022 12:39:02,108435.00,106667.66
19/01/2022 12:39:23,108491.38,106667.66
19/01/2022 12:39:44,108460.75,106667.66
19/01/2022 12:40:04,108460.75,106667.66
19/01/2022 12:40:25,108425.71,106667.66
19/01/2022 12:40:45,108441.25,106667.66
19/01/2022 12:41:06,108441.25,106667.66
19/01/2022 12:41:27,108434.47,106667.66
19/01/2022 12:41:48,108382.87,106667.66
19/01/2022 12:42:08,108464.74,106667.66
19/01/2022 12:42:29,108464.74,106667.66
19/01/2022 12:42:49,108414.30,106667.66
19/01/2022 12:43:10,108407.19,106667.66
19/01/2022 12:43:30,108407.19,106667.66
19/01/2022 12:43:51,108428.32,106667.66
19/01/2022 12:44:11,108417.57,106667.66
19/01/2022 12:44:32,108388.22,106667.66
19/01/2022 12:44:52,108388.22,106667.66
19/01/2022 12:45:19,108339.85,106667.66
19/01/2022 12:45:40,108358.79,106667.66
19/01/2022 12:46:01,108358.79,106667.66
19/01/2022 12:46:22,108343.87,106667.66
19/01/2022 12:46:42,108343.87,106667.66
19/01/2022 12:47:03,108343.87,106667.66
19/01/2022 12:47:23,108328.01,106667.66
19/01/2022 12:47:44,108286.17,106667.66
19/01/2022 12:48:04,108286.17,106667.66
19/01/2022 12:48:25,108290.97,106667.66
19/01/2022 12:48:45,108283.72,106667.66
19/01/2022 12:49:06,108219.43,106667.66
19/01/2022 12:49:26,108219.43,106667.66
19/01/2022 12:49:46,108222.23,106667.66
19/01/2022 12:50:07,108177.11,106667.66
19/01/2022 12:50:27,108177.11,106667.66
19/01/2022 12:50:48,108183.14,106667.66
19/01/2022 12:51:08,108160.79,106667.66
19/01/2022 12:51:29,108160.79,106667.66
19/01/2022 12:51:50,108151.06,106667.66
19/01/2022 12:52:10,108130.55,106667.66
19/01/2022 12:52:31,108191.29,106667.66
19/01/2022 12:52:51,108191.29,106667.66
19/01/2022 12:53:11,108216.08,106667.66
19/01/2022 12:53:32,108238.66,106667.66
19/01/2022 12:53:52,108238.66,106667.66
